Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
847,74,2,73,74,6,7,6.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,254005.38186295828
7757,27,2,58,55,11,13,12.0,1977,0.011654127,True,True,4,915,2,30.0,1,3,True,138396.98461170195
3961,23,2,65,32,6,11,17.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,193398.61374915
57,35,2,46,29,6,4,9.0,1974,0.089039719,True,True,33,7976,5,30.0,1,11,True,203384.32802587762
1699,9,1,78,76,6,8,7.0,1977,0.161531741,True,True,25,5648,1,30.0,2,4,True,226206.96243502828
7679,23,2,55,32,6,3,4.0,1977,0.034656082000000005,True,True,25,168,2,30.0,1,3,True,93217.7529240404
3736,167,2,56,36,7,6,5.0,1956,0.050272014,True,True,21,4231,14,1020.0,1,3,True,299177.50263524376
10954,119,1,32,17,6,4,5.0,1963,0.033493708,True,True,66,10573,1,1322.0,3,8,True,158611.39437663936
7161,129,3,80,52,8,2,5.0,1961,0.020741326,True,True,24,5613,5,1340.0,2,5,True,308656.41967736284
8576,4,2,53,50,6,5,12.0,1976,0.042031587,True,True,37,6856,84,1940.0,2,5,True,308108.23387345177
3486,62,1,33,22,6,2,9.0,1979,0.037177818,True,True,52,11217,1,2300.0,1,7,True,154480.96795636456
9024,6,3,79,32,6,16,1.0,1977,0.243204519,True,True,5,1564,2,540.0,1,3,True,193595.8005105045
8007,173,2,44,31,6,3,5.0,1969,0.081943463,True,True,20,2738,20,30.0,1,4,True,301309.74408345786
6728,37,4,99,66,9,18,22.0,1985,0.127811589,True,True,28,7287,5,320.0,1,3,True,362108.4338133904
6186,1,1,62,32,6,7,1.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,197006.1241876457
12307,60,1,40,38,8,13,14.0,1974,0.007658515,True,True,35,7077,56,2301.0,3,19,True,160810.5466807867
5474,111,2,63,40,10,16,22.0,2006,0.093442564,True,True,23,4635,5,3300.0,2,4,True,91594.31553801152
9629,124,3,78,58,6,9,9.0,1953,0.16909109,True,True,19,3856,10,30.0,2,5,True,387904.13631971186
12774,157,2,62,28,8,5,10.0,1956,0.07542368,True,True,30,7538,87,4702.0,5,5,True,555661.9439687196
15626,138,1,36,21,6,2,9.0,1973,0.195781053,True,True,23,5212,6,30.0,3,2,True,165911.1630485483
9480,37,2,57,32,8,6,16.0,1982,0.232205084,True,True,24,4860,1,80.0,1,3,True,254688.11688666075
1414,147,1,37,21,9,11,14.0,1973,0.319809354,True,True,25,4756,16,2857.0,5,8,True,198633.62900969788
1849,66,1,42,21,13,4,5.0,1965,0.111627393,True,True,50,12238,8,1970.0,2,3,True,180450.68204402085
16780,42,1,40,18,10,4,24.0,2007,0.158249043,True,True,21,5731,2,30.0,1,3,True,171531.56915459645
16752,1,3,79,32,6,2,17.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,200932.350329152
2304,94,1,35,17,7,8,9.0,1972,0.282797669,True,True,33,8667,2,30.0,1,6,True,170703.86725876507
6846,27,1,52,32,6,13,17.0,1977,0.072157581,True,True,2,629,1,30.0,1,3,True,155463.0920325192
10593,41,3,87,44,12,13,14.0,2013,0.175054867,True,True,36,10055,3,30.0,1,3,True,202696.04613505164
2556,23,1,43,32,6,8,25.0,2014,0.075778755,True,True,6,1437,3,30.0,1,2,True,124902.5557874368
3849,23,1,44,32,6,5,17.0,1977,0.014072961,True,True,2,475,2,30.0,1,3,True,80356.31884143525
11630,58,1,30,15,6,3,12.0,1973,0.31019913,True,True,11,2748,1,30.0,1,3,True,117941.28675294653
3992,1,3,87,87,6,21,22.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,300180.3656688172
8364,63,1,41,23,8,4,12.0,1983,0.23861713,True,True,26,3889,6,705.0,3,6,True,181842.46125624425
14385,75,1,47,21,8,7,17.0,1979,0.050755569,True,True,24,5469,1,145.0,1,1,True,250434.86992014808
5661,147,3,75,49,7,7,12.0,1966,0.319809354,True,True,25,4756,16,2857.0,5,8,True,422637.794709854
3157,81,4,90,62,8,7,10.0,1960,0.319809354,True,True,25,4756,16,2857.0,5,8,True,526817.5633390079
3585,110,2,55,32,8,12,12.0,1995,0.033493708,True,True,66,10573,1,1322.0,3,8,True,223528.98257966046
3524,6,1,38,32,6,9,17.0,1977,0.243204519,True,True,5,1564,2,540.0,1,3,True,128959.85248764248
13726,27,1,47,22,6,16,1.0,1977,0.017647053,True,True,2,469,2,30.0,1,3,True,130190.64357920545
5643,9,1,36,20,9,5,12.0,2008,0.161531741,True,True,25,5648,1,30.0,2,4,True,144224.82073375766
1140,45,1,40,19,9,10,12.0,1968,0.014423114,True,True,19,3806,4,30.0,1,3,True,211360.70205978784
9393,23,1,37,32,6,3,3.0,1977,0.034656082000000005,True,True,25,168,2,30.0,1,3,True,91945.04570153714
7381,5,2,45,27,6,3,9.0,1971,0.150817539,True,True,16,3433,4,2643.0,4,5,True,228628.22570789306
11983,5,2,56,30,8,6,14.0,1977,0.150817539,True,True,16,3433,4,2643.0,4,5,True,298194.5131791228
11771,45,1,38,39,6,11,9.0,1977,0.195781053,True,True,23,5212,6,30.0,3,2,True,247440.53060064913
16429,57,3,64,63,8,6,9.0,1977,0.13321533300000002,True,True,49,11395,3,1406.0,3,4,True,291872.4137006557
2286,99,2,47,28,6,9,9.0,1972,0.012338886,True,True,35,5776,1,2078.0,2,4,True,188832.70553528785
13235,77,1,38,25,7,12,12.0,1977,6.99893e-05,True,True,46,10309,1,240.0,1,16,True,174776.0316673406
7285,5,1,34,24,6,2,5.0,1968,0.150817539,True,True,16,3433,4,2643.0,4,5,True,144605.50562142633
11919,11,1,40,21,10,12,16.0,1982,0.00016967599999999998,True,True,36,5992,2,30.0,1,1,True,165302.1305422592
11507,61,2,52,33,8,12,17.0,2003,0.300322518,True,True,52,10311,6,30.0,1,9,True,295873.5506603369
4758,23,2,65,32,6,4,17.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,158591.79176787275
897,111,4,98,63,14,3,17.0,2003,0.135649789,True,True,46,7960,6,350.0,3,11,True,474500.5855912774
10807,120,3,58,39,6,6,9.0,1976,0.341071945,True,True,27,5664,48,2300.0,3,11,True,86480.95622349638
12537,1,1,45,32,6,21,4.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,179032.66611623476
4439,121,2,59,32,6,22,1.0,1977,0.212515361,True,True,19,3293,16,628.0,3,7,True,305673.9362067691
13616,27,1,37,37,10,8,17.0,2017,0.211401214,True,True,9,1892,2,30.0,1,1,True,108540.77296972286
16163,101,2,51,34,9,9,12.0,1968,0.225824954,True,True,41,6558,7,1548.0,3,2,True,230372.6610038333
12715,101,2,44,27,6,4,5.0,1964,0.225824954,True,True,41,6558,7,1548.0,3,2,True,177535.3737452566
2357,32,1,31,15,6,5,5.0,1972,0.135649789,True,True,46,7960,6,350.0,3,11,True,170343.755036283
15484,21,1,41,22,8,3,14.0,1991,0.194489265,True,True,47,8004,3,125.0,3,5,True,165446.79634548828
12339,23,1,47,32,6,5,3.0,1977,0.034656082000000005,True,True,25,168,2,30.0,1,3,True,126602.6739815092
16695,23,1,36,32,6,8,17.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,123225.90337009088
14717,21,1,37,23,6,5,6.0,1962,0.034331497,True,True,25,5487,3,30.0,1,4,True,178032.89265551203
13145,58,2,49,31,6,3,9.0,1969,0.14890389099999998,True,True,9,1952,1,1430.0,3,2,True,152555.76054157945
7028,111,2,54,30,8,15,17.0,1990,0.07542368,True,True,36,6714,2,2672.0,1,2,True,214439.61236821147
6392,27,3,49,32,6,17,25.0,2016,0.072157581,True,True,2,629,1,30.0,1,3,True,138397.35712228325
13343,74,2,79,82,6,8,21.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,226808.7471681844
15456,140,2,47,30,6,4,5.0,1960,0.23861713,True,True,26,3889,6,705.0,3,6,True,204610.6486302805
12734,23,3,79,46,12,7,17.0,2011,0.075778755,True,True,6,1437,3,30.0,1,2,True,145255.444043028
2497,6,3,80,49,12,17,17.0,2011,0.243204519,True,True,5,1564,2,540.0,1,3,True,212387.35341070392
4496,7,3,73,46,9,8,16.0,2012,0.130617806,True,True,39,10418,9,900.0,1,9,True,199179.72589465068
9544,46,1,36,21,6,3,5.0,1968,0.07542368,True,True,47,11319,2,1145.0,3,5,True,173393.07096786812
12997,4,3,75,52,8,9,9.0,1956,7.81528e-05,True,True,22,6398,2,1046.0,3,23,True,574631.3340507058
13189,11,2,46,28,6,7,9.0,1974,0.00016967599999999998,True,True,36,5992,2,30.0,1,1,True,210486.25913632664
8871,91,1,31,20,6,1,5.0,1965,0.000995363,True,True,42,7651,1,30.0,1,5,True,140029.71954866382
14497,30,3,80,32,10,3,3.0,2016,7.81528e-05,True,True,22,6398,2,1046.0,3,23,True,187612.01071040455
8746,0,3,65,46,6,2,9.0,1969,0.319809354,True,True,25,4756,16,2857.0,5,8,True,293122.5288732056
13875,20,1,28,32,6,6,10.0,2014,0.019508796,True,True,37,7687,11,176.0,5,5,True,199248.11437562987
12321,33,2,44,32,6,7,5.0,1977,0.236108458,True,True,16,3893,27,30.0,3,10,True,240274.79503573853
5720,27,2,66,32,6,10,17.0,1977,0.017647053,True,True,2,469,2,30.0,1,3,True,187907.06715514246
10773,77,3,79,44,10,16,17.0,1984,0.298204575,True,True,16,4048,3,30.0,1,3,True,322048.43399028893
13232,23,2,61,60,6,14,25.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,162052.06450784186
5594,23,3,105,32,6,16,25.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,245260.2310071209
7944,23,2,62,32,6,23,25.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,166176.55791809937
2881,85,3,72,47,10,9,16.0,1982,0.037177818,True,True,52,11217,1,2300.0,1,7,True,290525.22357393557
5112,6,2,63,32,10,17,17.0,2014,0.243204519,True,True,5,1564,2,540.0,1,3,True,174741.9980609786
12709,6,2,65,32,6,15,17.0,1977,0.243204519,True,True,5,1564,2,540.0,1,3,True,173654.55177500538
16102,17,1,38,19,10,14,12.0,1966,0.07542368,True,True,18,3374,5,620.0,1,2,True,202533.97064362981
11018,56,3,67,42,8,2,16.0,1982,0.035145267,True,True,42,9292,3,2620.0,1,3,True,334325.6439923818
739,84,4,102,74,9,4,5.0,1961,0.14966637300000002,True,True,22,4789,2,4087.0,4,1,True,415574.1158191548
14634,137,3,72,47,7,17,16.0,1981,0.200146802,True,True,23,3975,8,770.0,2,3,True,381975.5122369781
6119,67,2,48,28,6,3,9.0,1978,0.0077202819999999985,True,True,38,4788,2,30.0,1,4,True,219765.0281427781
1037,48,3,62,46,6,2,12.0,1982,0.041124634,True,True,46,9515,5,30.0,1,10,True,296954.4462646551
3794,143,2,53,30,10,7,16.0,1978,0.049863387,True,True,18,3746,9,75.0,3,1,True,372616.4560178341
5041,66,1,41,23,9,5,14.0,1973,0.111627393,True,True,50,12238,8,1970.0,2,3,True,208885.90899877038
810,11,1,40,20,7,9,9.0,1979,0.038692987000000005,True,True,28,6533,1,1015.0,2,5,True,157759.0265475383
8800,23,1,29,32,6,5,12.0,1977,0.034656082000000005,True,True,25,168,2,30.0,1,3,True,60502.58349957876
15914,63,2,43,29,6,6,12.0,1971,0.23861713,True,True,26,3889,6,705.0,3,6,True,254391.27332749648
8261,57,1,40,22,9,8,16.0,1979,0.13321533300000002,True,True,49,11395,3,1406.0,3,4,True,183295.13264780046
4218,88,1,42,32,10,13,20.0,2015,0.127375905,True,True,43,8429,3,30.0,3,9,True,221782.00220471376
16407,31,1,35,19,6,2,5.0,1961,0.151346216,True,True,32,5889,10,830.0,4,1,True,183658.92522643995
9509,9,2,60,57,6,2,11.0,1977,0.161531741,True,True,25,5648,1,30.0,2,4,True,166221.47021029654
5284,27,4,119,78,13,8,12.0,2015,0.072157581,True,True,2,629,1,30.0,1,3,True,221374.05729278226
15522,21,2,52,31,8,11,17.0,1993,0.194489265,True,True,47,8004,3,125.0,3,5,True,208896.49584913746
15714,5,3,61,38,7,10,9.0,1976,0.150817539,True,True,16,3433,4,2643.0,4,5,True,298947.3227421746
6745,6,1,50,32,6,4,1.0,1977,0.243204519,True,True,5,1564,2,540.0,1,3,True,137820.11589642215
9529,1,1,41,32,6,15,17.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,135630.04564263002
3578,11,2,46,26,6,7,5.0,1966,0.038692987000000005,True,True,28,6533,1,1015.0,2,5,True,189473.46385354557
5402,27,4,98,100,6,3,1.0,2019,0.072157581,True,True,2,629,1,30.0,1,3,True,294689.6147935343
15216,53,2,59,37,10,11,17.0,2016,0.049637257,True,True,34,7759,2,229.0,1,3,True,308901.3520000765
13744,163,3,71,47,7,9,12.0,1991,0.007658515,True,True,35,7077,56,2301.0,3,19,True,415613.5584305778
8423,96,1,41,22,8,10,14.0,1995,0.041116354,True,True,53,14892,4,30.0,1,4,True,174939.5373207675
11249,200,3,107,63,12,6,16.0,1997,0.07542368,True,True,33,7425,1,30.0,2,5,True,587987.4021043336
16007,53,3,73,44,7,12,12.0,1981,0.049637257,True,True,34,7759,2,229.0,1,3,True,375533.6643054875
10703,78,1,45,40,10,17,24.0,2009,0.092290642,True,True,21,4346,2,165.0,1,2,True,212021.25825138294
6962,27,2,44,27,6,3,5.0,1975,0.211401214,True,True,9,1892,2,30.0,1,1,True,122017.66964650506
10626,44,1,38,20,9,11,12.0,1972,0.036122292,True,True,24,4378,2,1036.0,1,1,True,203275.6843611061
12719,53,2,57,37,10,11,24.0,2019,0.049637257,True,True,34,7759,2,229.0,1,3,True,346494.28358580195
12947,53,2,56,32,6,14,13.0,1977,0.049637257,True,True,34,7759,2,229.0,1,3,True,247074.56483183
10529,182,3,45,30,6,5,4.0,1977,0.246623602,True,True,14,2940,45,30.0,3,6,True,352139.64408884157
2043,77,3,66,49,6,14,12.0,1976,6.99893e-05,True,True,46,10309,1,240.0,1,16,True,238561.87098655148
6556,111,2,57,30,9,12,21.0,2010,0.093442564,True,True,23,4635,5,3300.0,2,4,True,400989.19361703115
12870,2,1,35,22,6,2,5.0,1968,0.309479124,True,True,35,7715,4,990.0,1,6,True,158806.98113840097
7682,9,3,79,48,10,5,14.0,1993,0.161531741,True,True,25,5648,1,30.0,2,4,True,246800.15531296981
9880,27,1,48,20,16,2,14.0,2011,0.051815435,True,True,5,1227,2,30.0,1,3,True,131073.65850509165
13146,74,1,46,32,6,6,13.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,168705.45014826118
12868,73,2,60,39,7,9,16.0,2007,0.042031587,True,True,37,6856,84,1940.0,2,5,True,426593.2611530737
6782,45,1,52,32,6,3,1.0,1977,0.195781053,True,True,23,5212,6,30.0,3,2,True,438005.1823233111
16418,9,2,77,32,6,4,1.0,1977,0.161531741,True,True,25,5648,1,30.0,2,4,True,228956.20490209232
11805,6,1,42,32,6,17,17.0,1977,0.243204519,True,True,5,1564,2,540.0,1,3,True,129409.39379445465
15252,23,1,54,32,6,4,9.0,1977,0.014072961,True,True,2,475,2,30.0,1,3,True,106429.78223028069
10005,58,1,44,47,6,3,2.0,2019,0.43788524,True,True,23,5735,3,1084.0,1,5,True,106866.24874556783
2426,0,1,33,21,7,5,9.0,1971,0.319809354,True,True,25,4756,16,2857.0,5,8,True,162322.78401128948
14492,0,2,62,37,10,10,22.0,2007,0.319809354,True,True,25,4756,16,2857.0,5,8,True,334328.5902203312
8378,21,2,53,31,8,19,17.0,1995,0.034331497,True,True,25,5487,3,30.0,1,4,True,271788.0071933646
4427,74,2,91,50,14,17,23.0,2010,0.371148999,True,True,34,7065,1,750.0,2,5,True,383841.928038505
455,70,3,72,44,8,18,22.0,1982,0.002211665,True,True,39,7614,3,30.0,1,5,True,408096.4012791789
10083,1,3,85,32,6,6,17.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,306428.78625142964
11251,22,1,38,21,10,9,22.0,1991,0.13321533300000002,True,True,49,11395,3,1406.0,3,4,True,215837.93518619105
15794,23,3,84,32,6,2,17.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,187489.9514196116
9747,98,1,36,20,6,5,5.0,1962,0.195781053,True,True,23,5212,6,30.0,3,2,True,165514.75643159472
16363,90,2,48,31,8,13,12.0,1971,0.265088676,True,True,37,5288,2,1937.0,3,2,True,200701.5196900732
12361,32,2,56,50,6,5,12.0,1974,0.135649789,True,True,46,7960,6,350.0,3,11,True,238770.3612759979
15286,129,2,52,27,10,1,16.0,1983,0.460556389,True,True,20,4386,14,30.0,1,5,True,274828.72553545807
14798,0,3,69,47,7,2,9.0,1973,0.006076152,True,True,30,5285,2,645.0,6,6,True,182373.32483135405
8974,54,2,90,91,6,10,9.0,2017,0.006076152,True,True,30,5285,2,645.0,6,6,True,502813.7726648614
2136,74,2,84,81,6,12,17.0,2017,0.075778755,True,True,6,1437,3,30.0,1,2,True,243479.876105312
1958,55,1,42,21,10,16,22.0,1987,0.041365446,True,True,31,5569,2,30.0,1,4,True,151976.07035832485
10541,101,2,43,33,6,2,5.0,1963,0.225824954,True,True,41,6558,7,1548.0,3,2,True,180026.27472052464
2457,138,1,34,24,6,9,9.0,1962,0.014423114,True,True,19,3806,4,30.0,1,3,True,86647.80337071385
13779,66,1,56,22,14,14,17.0,2003,0.111627393,True,True,50,12238,8,1970.0,2,3,True,338588.2539418333
4111,3,2,48,30,6,6,12.0,1972,0.050900058,True,True,43,10621,1,30.0,2,3,True,183744.9522402997
12174,62,1,44,32,6,8,13.0,1977,0.072157581,True,True,2,629,1,30.0,1,3,True,133773.30172178228
1536,66,1,43,23,8,4,19.0,1997,0.111627393,True,True,50,12238,8,1970.0,2,3,True,218638.332450608
2574,159,2,43,29,6,5,8.0,1935,0.246623602,True,True,14,2940,45,30.0,3,6,True,288674.66598856176
5810,8,1,43,19,8,8,14.0,2009,0.458174486,True,True,26,4439,1,1130.0,1,5,True,203558.79780449602
4617,27,1,40,24,10,8,19.0,2019,0.211401214,True,True,9,1892,2,30.0,1,1,True,96245.51614622868
7185,50,2,39,26,6,7,9.0,1968,0.037316452,True,True,32,6748,93,562.0,4,10,True,242067.73485957985
2833,70,1,35,21,6,9,9.0,1977,0.002211665,True,True,39,7614,3,30.0,1,5,True,155814.3480442097
9106,32,3,63,48,6,11,9.0,1972,0.135649789,True,True,46,7960,6,350.0,3,11,True,325461.157704322
3482,49,2,42,23,7,9,12.0,1973,0.020741326,True,True,24,5613,5,1340.0,2,5,True,218712.8880291168
6265,11,1,44,21,8,10,12.0,1977,0.00016967599999999998,True,True,36,5992,2,30.0,1,1,True,183355.86239288465
16499,103,2,45,30,6,4,11.0,1970,0.014423114,True,True,19,3806,4,30.0,1,3,True,225146.01933084626
9781,21,1,35,22,6,4,5.0,1967,0.194489265,True,True,47,8004,3,125.0,3,5,True,151281.5993872346
10508,1,1,43,23,8,4,14.0,1988,0.025609157,True,True,33,5261,2,240.0,3,1,True,139450.92630701596
15415,52,2,52,29,8,8,14.0,1989,0.371148999,True,True,34,7065,1,750.0,2,5,True,198597.31064090444
6627,36,3,86,54,10,7,17.0,2008,0.08761909,True,True,8,1497,5,30.0,1,3,True,85537.73540463713
15045,127,1,35,15,9,3,9.0,1962,0.486245621,True,True,13,2514,19,30.0,1,6,True,150063.02483891492
8355,6,1,50,32,6,10,17.0,1977,0.243204519,True,True,5,1564,2,540.0,1,3,True,137283.78224619754
14710,27,2,51,32,6,8,17.0,1977,0.011654127,True,True,4,915,2,30.0,1,3,True,149654.18549525086
12177,6,3,74,64,6,14,17.0,2017,0.243204519,True,True,5,1564,2,540.0,1,3,True,207709.84985207857
11760,28,1,32,18,6,3,5.0,1967,0.333891544,True,True,30,6564,1,30.0,1,3,True,141756.75371125556
643,83,3,63,40,7,4,9.0,1978,0.0077202819999999985,True,True,38,4788,2,30.0,1,4,True,280930.70240196696
5486,21,1,32,19,6,6,9.0,1964,0.034331497,True,True,25,5487,3,30.0,1,4,True,181779.72035129266
5715,22,1,32,19,6,4,5.0,1959,0.000995363,True,True,42,7651,1,30.0,1,5,True,139400.08894951578
9450,9,1,38,19,8,5,17.0,1996,0.069753361,True,True,53,13670,4,30.0,1,11,True,176552.02065422348
2510,27,1,38,24,8,14,14.0,2005,0.041116354,True,True,53,14892,4,30.0,1,4,True,182642.3555182136
8192,27,3,84,50,8,7,9.0,1997,0.041116354,True,True,53,14892,4,30.0,1,4,True,291518.5452160943
1182,27,1,38,32,6,18,19.0,2017,0.211401214,True,True,9,1892,2,30.0,1,1,True,93560.78955317123
16266,6,2,61,62,6,16,17.0,1977,0.243204519,True,True,5,1564,2,540.0,1,3,True,168514.43529645973
12216,1,2,67,32,6,6,17.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,204406.32810804425
2329,29,1,35,22,9,4,9.0,1972,0.040242764,True,True,25,3478,11,2729.0,3,1,True,203629.57253165
10575,29,1,34,22,6,7,9.0,1966,0.069660344,True,True,31,6119,4,30.0,1,2,True,97107.06214409883
16715,23,1,42,32,6,19,17.0,1977,0.075778755,True,True,6,1437,3,30.0,1,2,True,112523.43097111225
13279,194,3,92,54,10,4,10.0,1956,0.174739084,True,True,17,3379,9,100.0,1,3,True,478782.48842128884
3574,21,1,39,22,6,3,9.0,1972,0.194489265,True,True,47,8004,3,125.0,3,5,True,148576.69268698507
627,58,1,36,22,8,18,16.0,1983,0.43788524,True,True,23,5735,3,1084.0,1,5,True,166891.6028484566
4608,1,1,48,22,9,10,25.0,2013,0.007122317,True,True,1,264,2,30.0,1,1,True,114009.31115208686
7979,6,1,47,32,6,20,25.0,1977,0.243204519,True,True,5,1564,2,540.0,1,3,True,143413.3417424934
1451,52,1,42,18,7,2,17.0,2009,0.371148999,True,True,34,7065,1,750.0,2,5,True,177126.69377839644
14707,41,3,83,45,12,19,17.0,2009,0.175054867,True,True,36,10055,3,30.0,1,3,True,394235.91417352407
11415,47,3,82,32,6,6,17.0,2015,0.197367951,True,True,8,2423,1,32.0,1,1,True,196429.6592377391
9070,99,1,41,21,9,10,14.0,1972,0.012338886,True,True,35,5776,1,2078.0,2,4,True,178829.1664497557
3746,62,1,46,32,6,11,12.0,2018,0.072157581,True,True,2,629,1,30.0,1,3,True,133721.12171464573
13727,27,3,47,47,6,10,25.0,1977,0.072157581,True,True,2,629,1,30.0,1,3,True,143244.41530669745
15661,45,3,81,32,6,15,13.0,1977,0.195781053,True,True,23,5212,6,30.0,3,2,True,442472.4560317953
10091,2,3,61,38,6,2,9.0,1968,0.309479124,True,True,35,7715,4,990.0,1,6,True,249400.9791719856
10190,8,2,52,30,7,6,14.0,1985,0.458174486,True,True,26,4439,1,1130.0,1,5,True,211197.30254892266
7027,128,2,54,34,8,7,14.0,1994,0.07542368,True,True,27,4798,2,30.0,2,8,True,213343.6886695325
6812,27,1,41,32,6,11,13.0,1977,0.011654127,True,True,4,915,2,30.0,1,3,True,112236.13164735348
4935,23,1,28,32,6,12,11.0,1977,0.034656082000000005,True,True,25,168,2,30.0,1,3,True,68375.61550845015
4703,27,3,80,42,6,7,14.0,2016,0.017647053,True,True,2,469,2,30.0,1,3,True,228740.42544231736
2424,8,3,80,48,12,12,14.0,2005,0.43788524,True,True,23,5735,3,1084.0,1,5,True,337450.04726223927
3145,58,1,40,32,6,3,1.0,1977,0.43788524,True,True,23,5735,3,1084.0,1,5,True,99930.02583559755
557,12,2,57,35,9,9,14.0,1995,0.090799103,True,True,74,19083,2,30.0,5,15,True,239606.5015927873
10351,70,1,38,22,7,6,17.0,2003,0.002211665,True,True,39,7614,3,30.0,1,5,True,246254.90218986355
